adm0_code,adm0_name,month,enso_state,bad_year
152,Malawi,276.5,El Niño,
152,Malawi,288.5,Neutral,Bad
152,Malawi,300.5,La Niña,
152,Malawi,312.5,Neutral,
152,Malawi,324.5,El Niño,Bad
152,Malawi,336.5,El Niño,
152,Malawi,348.5,La Niña,
152,Malawi,360.5,Neutral,
152,Malawi,372.5,Neutral,
152,Malawi,384.5,El Niño,Bad
152,Malawi,396.5,Neutral,
152,Malawi,408.5,Neutral,
152,Malawi,420.5,El Niño,Bad
152,Malawi,432.5,La Niña,
152,Malawi,444.5,Neutral,
152,Malawi,456.5,El Niño,
152,Malawi,468.5,La Niña,
152,Malawi,480.5,La Niña,
152,Malawi,492.5,La Niña,
152,Malawi,504.5,Neutral,Bad
152,Malawi,516.5,El Niño,
152,Malawi,528.5,Neutral,
152,Malawi,540.5,El Niño,Bad
152,Malawi,552.5,Neutral,
152,Malawi,564.5,Neutral,
152,Malawi,576.5,La Niña,
152,Malawi,588.5,Neutral,
152,Malawi,600.5,El Niño,Bad
152,Malawi,612.5,La Niña,
152,Malawi,624.5,La Niña,
152,Malawi,636.5,Neutral,
152,Malawi,648.5,Neutral,
152,Malawi,660.5,El Niño,
152,Malawi,672.5,El Niño,Bad
152,Malawi,684.5,Neutral,
152,Malawi,696.5,Neutral,Bad
152,Malawi,708.5,La Niña,
152,Malawi,720.5,El Niño,Bad
152,Malawi,732.5,La Niña,
79,Ethiopia,269.5,El Niño,
79,Ethiopia,281.5,Neutral,
79,Ethiopia,293.5,La Niña,Bad
79,Ethiopia,305.5,Neutral,
79,Ethiopia,317.5,El Niño,
79,Ethiopia,329.5,El Niño,Bad
79,Ethiopia,341.5,La Niña,
79,Ethiopia,353.5,Neutral,
79,Ethiopia,365.5,Neutral,Bad
79,Ethiopia,377.5,El Niño,Bad
79,Ethiopia,389.5,Neutral,
79,Ethiopia,401.5,Neutral,
79,Ethiopia,413.5,El Niño,
79,Ethiopia,425.5,La Niña,
79,Ethiopia,437.5,Neutral,
79,Ethiopia,449.5,El Niño,
79,Ethiopia,461.5,La Niña,
79,Ethiopia,473.5,La Niña,Bad
79,Ethiopia,485.5,La Niña,
79,Ethiopia,497.5,Neutral,
79,Ethiopia,509.5,El Niño,Bad
79,Ethiopia,521.5,Neutral,
79,Ethiopia,533.5,El Niño,Bad
79,Ethiopia,545.5,Neutral,
79,Ethiopia,557.5,Neutral,
79,Ethiopia,569.5,La Niña,
79,Ethiopia,581.5,Neutral,Bad
79,Ethiopia,593.5,El Niño,Bad
79,Ethiopia,605.5,La Niña,
79,Ethiopia,617.5,La Niña,Bad
79,Ethiopia,629.5,Neutral,
79,Ethiopia,641.5,Neutral,
79,Ethiopia,653.5,El Niño,
79,Ethiopia,665.5,El Niño,Bad
79,Ethiopia,677.5,Neutral,
79,Ethiopia,689.5,Neutral,
79,Ethiopia,701.5,La Niña,
79,Ethiopia,713.5,El Niño,
79,Ethiopia,725.5,La Niña,
150,Madagascar,276.5,El Niño,Bad
150,Madagascar,288.5,Neutral,
150,Madagascar,300.5,La Niña,
150,Madagascar,312.5,Neutral,Bad
150,Madagascar,324.5,El Niño,
150,Madagascar,336.5,El Niño,
150,Madagascar,348.5,La Niña,
150,Madagascar,360.5,Neutral,
150,Madagascar,372.5,Neutral,Bad
150,Madagascar,384.5,El Niño,Bad
150,Madagascar,396.5,Neutral,
150,Madagascar,408.5,Neutral,
150,Madagascar,420.5,El Niño,
150,Madagascar,432.5,La Niña,
150,Madagascar,444.5,Neutral,
150,Madagascar,456.5,El Niño,
150,Madagascar,468.5,La Niña,
150,Madagascar,480.5,La Niña,
150,Madagascar,492.5,La Niña,
150,Madagascar,504.5,Neutral,
150,Madagascar,516.5,El Niño,
150,Madagascar,528.5,Neutral,
150,Madagascar,540.5,El Niño,
150,Madagascar,552.5,Neutral,Bad
150,Madagascar,564.5,Neutral,
150,Madagascar,576.5,La Niña,
150,Madagascar,588.5,Neutral,Bad
150,Madagascar,600.5,El Niño,Bad
150,Madagascar,612.5,La Niña,
150,Madagascar,624.5,La Niña,
150,Madagascar,636.5,Neutral,
150,Madagascar,648.5,Neutral,
150,Madagascar,660.5,El Niño,
150,Madagascar,672.5,El Niño,Bad
150,Madagascar,684.5,Neutral,Bad
150,Madagascar,696.5,Neutral,Bad
150,Madagascar,708.5,La Niña,
150,Madagascar,720.5,El Niño,
150,Madagascar,732.5,La Niña,
